ct,name,class,z,N_HI,flag,Q,L_UV,SI_UV,n_rad,fit,L_21,TO,SI,L_21ssd,TOssd,thick,thin
1,PKS0001-111,G,1.47401,17.9,non,52.644,20.15,-4.840211532129106,6,1,27.615,6.927,-0.778,,,,
2,B20003+38A,Q,0.229,18.55,det,54.668,21.423,-0.8587002068955052,13,1,25.996,9.355,-0.012,,,,
3,GALEXMSCJ000319.43+212946.0,Q,0.452,19.61,non,,,,27,2,-113.515,9.87,28.24,,10.06,0.811,-1.773
4,WISEAJ000353.27+121024.0,R,0.763244,17.87,non,,,,5,1,,10.993,-0.613,,,,
5,4C+40.01,G,0.255,18.4,non,54.416,21.099,-0.7267417477344044,22,1,,10.461,-0.352,,,,
6,GB6J0021+7312,G,0.821,17.71,non,,,,7,2,,9.21,,,9.453,0.526,-0.952
7,4C+00.02,G,0.305,18.19,non,53.2,20.127,-1.2750737854579712,24,2,,8.61,,,9.571,-0.027,-1.354
8,PKS0022-423,Q,0.937,18.05,non,,,,18,2,,9.59,,,9.729,0.895,-1.407
9,PKS0023-26,G,0.32162,18.36,det,53.02,20.272,-2.696051664786636,31,2,,8.14,,,9.03,0.109,-0.94
10,WISEAJ003058.28+011559.5,R,0.3748,18.22,non,,,,6,1,,6.163,-0.749,,,,
11,MRC0030-220,Q,0.806,18.62,non,55.384,22.268,-1.156055307324951,6,1,,6.938,-0.795,,,,
12,MRSS473-022361,Q,0.333,18.28,non,54.644,21.693,-1.6909706747413964,6,1,,6.818,-0.817,,,,
13,B20032+27,V,2.9642,18.79,non,,,,12,2,,8.95,,,10.661,-0.198,-0.885
14,B20032+30,G,0.1744,18.06,non,,,,6,1,,6.905,-1.024,,,,
15,MRC0035-231,G,0.685,18.3,non,,,,6,2,,8.04,,,8.785,0.051,-1.377
16,3C017,G,0.21968,17.67,non,54.543,21.363,-0.998196162156075,31,1,,-65.84,-0.743,,,,
17,B30035+413,Q,1.353,18.14,non,56.015,22.685,-0.7069051853951166,17,2,,9.57,,,10.468,0.157,-1.0
18,4C+36.01,q,0.366,17.97,non,54.759,21.506,-0.8427320471735011,12,1,,14.818,-0.589,,,,
19,PKS0035-216,G,0.338,17.23,non,,,,10,2,,8.75,,,9.06,0.422,-0.855
20,PKS0039-44,G,0.346,18.43,non,54.593,21.508,-1.2403116655270607,16,1,,6.915,-0.899,,,,
21,MRC0042-248,Q,0.807,18.41,non,,,,6,1,,2.559,-0.822,,,,
22,MRC0050-222,G,0.654,18.22,non,,,,7,1,,6.544,-0.795,,,,
23,MRC0058-229,G,0.706,18.69,non,,,,7,1,,-29.127,-0.908,,,,
24,3C032,G,0.4,17.88,non,,,,17,1,,7.469,-1.074,,,,
25,MRC0106-233,Q,0.818,18.54,non,55.537,22.478,-1.3192484382998095,8,1,,3.221,-0.712,,,,
26,WISEJ011327.00+494824.0,Q,0.389,17.78,non,55.475,22.269,-0.9375320630793424,15,1,,10.702,-0.131,,,,
27,OC+314,G,0.66847,19.36,det,,17.056,0.5429373988462445,50,2,,9.9,,,9.839,1.477,-1.158
28,4C+07.04,R,0.343,17.18,non,,,,14,2,,8.08,,,9.871,-3.911,-0.433
29,3C038,G,0.565,17.17,non,,,,20,1,,6.681,-0.843,,,,
30,MRC0118-272,Q,0.557,17.86,non,56.293,23.094,-0.9536844272722522,25,1,,11.464,-0.166,,,,
31,NVSSJ012142+132058,G,3.516,17.62,non,,,,3,1,,6.235,-1.218,,,,
32,UM321,Q,1.07481,18.04,non,56.964,23.851,-1.1633653940982198,35,1,,-2.12,-0.103,,,,
33,MRC0123-226,Q,0.72,18.21,non,56.033,22.974,-1.316215458635997,13,1,,10.679,-0.508,,,,
34,3C043,Q,1.459,17.46,non,55.263,21.903,-0.6589694851092528,26,1,,-28.089,-0.742,,,,
35,4C-00.11,Q,0.879,16.76,non,54.531,21.218,-0.7328392840866355,13,1,,11.554,-0.584,,,,
36,MRC0135-247,Q,0.838,18.72,non,56.495,23.284,-0.92820315121122,29,1,,9.948,-0.182,,,,
37,3C048,Q,0.367,16.78,non,55.935,22.829,-1.1831789137846758,36,2,,7.6,,,7.436,2.766,-0.358
38,UM355,G,0.26168,18.26,non,55.212,21.988,-0.9001968935303888,15,1,,21.828,-0.72,,,,
39,OC-065,Q,0.733,18.28,non,56.246,23.046,-0.9507335310652544,29,1,,7.021,-0.123,,,,
40,3C049,G,0.621,18.04,det,54.259,21.017,-0.8649702048956482,21,1,,5.53,-0.728,,,,
41,MRC0143-246,G,0.716,18.3,non,,,,8,1,,0.822,-0.888,,,,
42,MRC0144-227,G,0.6,18.04,non,,,,7,1,,6.997,-0.715,,,,
43,[HB89]0145+386,Q,1.442,18.34,non,55.956,22.83,-1.1301401782920177,8,2,,9.96,,,9.963,0.426,-0.37
44,4C-02.08,RadioS,0.95904,19.32,det,,,,12,1,,7.844,-0.751,,,,
45,MRC0149-299,G,0.603,18.3,non,,,,11,1,,6.455,-0.889,,,,
46,LEDA2822862,Q,0.616,17.98,non,56.204,23.113,-1.2235238291386827,14,1,,3.576,-0.723,,,,
47,3C057,Q,0.669,17.8,non,57.113,24.059,-1.330146505772542,24,1,,6.199,-0.537,,,,
48,MRC0201-214,G,0.915,19.0,non,,,,5,2,,8.67,,,8.763,0.636,-0.86
49,PKS0201+113,Q,3.639,18.46,non,56.929,23.686,-0.8609108152909172,21,2,,10.16,,,10.227,0.663,-0.68
50,4C+15.05,Q,0.8336,19.39,det,53.972,20.548,-0.5687323913984093,52,1,,6.913,-0.294,,,,
51,MRC0205-229,G,0.68,18.52,non,,,,7,1,,4.77,-0.787,,,,
52,NVSSJ020510+224250,G,3.506,18.72,non,,,,3,1,,7.279,-1.172,,,,
53,MRC0209-237,Q,0.68,18.3,non,,,,7,1,,6.916,-0.815,,,,
54,MRC0209-282,G,0.6,18.3,non,,,,7,1,,6.619,-0.733,,,,
55,4C-02.09,Q,1.178,18.46,non,55.636,22.364,-0.8070999744836126,23,1,,10.358,-0.363,,,,
56,OD+330,G,0.944,17.81,non,55.627,22.362,-0.820624268992542,40,1,,15.489,-0.197,,,,
57,3C066A,Q,0.444,17.67,non,56.483,23.271,-0.9245968901743421,19,1,,11.072,-0.442,,,,
58,PKS0220-349,Q,1.49,19.18,non,,,,17,2,,10.37,,,10.777,0.232,-0.512
59,MRC0223-245,G,0.634,18.11,non,,,,7,2,,8.32,,,9.093,0.016,-1.061
60,3C067,G,0.3102,18.14,non,53.974,20.703,-0.8082856333182097,21,1,,6.117,-0.733,,,,
61,4C+06.11,Q,0.511,18.0,non,55.209,21.824,-0.622051265725867,31,1,,9.666,-0.079,,,,
62,MRC0225-241,G,0.52,18.04,non,,,,9,1,,5.521,-0.731,,,,
63,WISEAJ022928.93+004429.5,G,1.216557,20.13,det,,,,0,0,,,,,,,
65,MRC0230-245,G,0.88,18.16,non,,,,7,1,,6.447,-0.816,,,,
66,MRC0231-235,G,0.81,18.26,non,,,,10,1,,5.706,-0.928,,,,
67,NVSSJ023111+360027,G,3.079,17.89,non,,,,5,1,,5.488,-1.187,,,,
68,MRC0233-290,G,0.725,18.26,non,,,,7,1,,6.207,-0.851,,,,
69,WISEAJ023333.61-041240.1,R,0.877272,17.95,non,,,,1,0,,,,,,,
70,PKS0235-19,G,0.62,17.56,non,,,,21,1,,7.198,-0.932,,,,
71,OD+160,Q,0.94,18.11,non,56.605,23.389,-0.9171011787737272,57,2,,10.42,,,10.767,0.234,-0.586
72,[HB89]0237-233,Q,2.223,17.32,non,57.654,24.542,-1.1665967537528714,37,2,,9.5,,,8.853,1.682,-0.351
73,PKS0239+108,Q,2.68,0.0,non,56.894,23.697,-0.9598585833660941,12,1,,11.238,-0.185,,,,
74,PKS0240-217,G,0.314,17.48,non,54.806,21.618,-0.9788842254123136,11,2,,8.84,,,9.508,0.185,-0.665
75,[HB89]0248+430,Q,1.31,18.42,non,56.185,23.008,-1.0046956499398998,25,2,,9.93,,,10.418,0.313,-0.906
76,PKS0252-71,G,0.568,17.23,non,,,,17,1,,7.672,-1.006,,,,
77,MRC0254-274,G,0.48,19.05,non,,,,3,1,,8.974,-0.923,,,,
78,MRC0254-236,G,0.509,19.07,non,,,,10,1,,4.343,-1.074,,,,
79,PKS0253-220,G,0.1128,18.57,non,,,,8,2,,8.04,,,7.751,4.561,-0.403
80,BZQJ0301+0118,Q,1.221,18.22,non,,,,9,1,,11.01,-0.52,,,,
81,OE+110,Q,0.863,18.41,non,55.68,22.436,-0.8610335134390409,17,1,,8.488,0.287,,,,
82,22W003,G,0.134,18.23,non,53.499,19.819,-0.31549998020269965,11,1,,8.975,0.237,,,,
83,4C+16.09,Q,0.907,18.9,det,,22.57,2.052078891602683,39,2,,8.83,,,9.666,0.028,-1.374
84,MRC0319-298,G,0.583,17.74,non,,,,12,1,,7.591,-0.557,,,,
85,PKS0319+12,Q,2.662,17.8,non,57.493,24.262,-0.8867466572676969,20,1,,7.395,-0.186,,,,
86,MRC0320-267,G,0.89,18.3,non,,,,9,1,,7.642,-0.685,,,,
87,MRC0325-260,G,0.638,18.83,non,,,,5,1,,7.263,-0.817,,,,
88,PKS0327-241,Q,0.895,18.18,non,55.746,22.471,-0.8013499100236919,16,1,,9.832,-0.091,,,,
89,OE-160,Q,3.442,18.32,non,57.764,23.887,-0.200274561039946,9,1,,5.735,-0.348,,,,
90,OE-063,Q,0.852,17.65,non,56.242,23.034,-0.9344807818048013,47,2,,9.9,,,10.924,0.069,-0.996
91,PKS0338-214,Q,0.223,17.86,non,54.988,21.797,-0.9710980927670969,17,1,,9.734,-0.036,,,,
92,MRC0338-259,Q,0.439,18.3,non,,,,5,1,,5.554,-0.843,,,,
93,OE+367,Q,1.484,18.74,non,,,,13,2,,9.11,,,8.937,4.597,-0.199
94,PKS0344-291,G,0.14227,17.62,non,,,,9,1,,6.203,-0.803,,,,
95,OE-278,Q,0.991,18.2,non,56.116,22.885,-0.8854185226585625,22,2,,9.38,,,10.996,0.019,-0.794
96,3C093.1,G,0.243,18.12,non,,17.249,0.374160024618742,18,1,,5.904,-0.725,,,,
97,PKS0347-211,Q,2.994,18.38,non,56.751,23.446,-0.7472981065294121,12,1,,6.359,0.142,,,,
98,3C099,G,0.426,18.03,non,54.134,20.898,-0.8750911365376893,17,1,,5.118,-0.771,,,,
99,PKS0400-319,Q,1.288,18.93,non,55.87,22.588,-0.787637751676737,17,2,,9.84,,,10.347,0.227,-0.622
100,PKS0408-65,Q,0.962,17.14,non,53.808,21.05,-2.634227253938054,20,1,,7.481,-1.192,,,,
102,4C+76.03,G,0.5985,18.4,det,,,,32,2,,8.47,,,8.773,0.717,-0.602
103,4C+05.19,Q,2.6365,18.88,det,56.531,23.392,-1.0980135813737941,16,2,,9.27,,,9.262,0.91,-0.859
104,MRC0418-288,Q,0.85,18.77,non,,,,5,1,,6.603,-0.822,,,,
105,MRC0424-268,G,0.469,17.86,non,,,,11,1,,6.734,-0.798,,,,
106,WISEJ042906.02+671016.3,Q,0.324,18.2,non,,,,7,2,,8.24,,,8.741,0.379,-0.761
107,MRC0428-271,G,0.84,18.49,non,,,,7,1,,4.395,-0.82,,,,
108,3C119,G,1.023,17.18,non,,,,19,2,,8.1,,,9.264,0.012,-0.828
109,MRC0430-235,G,0.82,18.99,non,,,,4,1,,-1.046,-0.9,,,,
110,PKS0428+20,G,0.219,18.54,det,,16.603,0.08467283854099561,38,2,,9.04,,,9.397,0.391,-0.876
111,MRC0437-244,Q,0.834,18.74,non,,,,7,1,,15.601,-0.977,,,,
112,OF-067,Q,0.844,17.72,non,56.326,23.108,-0.9127227336664325,48,2,,8.37,,,10.642,-0.049,-0.523
113,MRC0450-221,Q,0.898,18.52,non,55.983,22.685,-0.7597962632333947,7,1,,0.393,-0.976,,,,
114,MRC0454-220,Q,0.533,18.34,non,56.719,23.618,-1.1985103455153476,12,1,,-16.83,-0.801,,,,
115,4C+06.21,G,0.405,17.86,non,55.465,22.233,-0.8849592774598155,20,1,,9.817,-0.198,,,,
116,OF+097,Q,2.384,18.41,non,,,,26,2,,9.94,,,9.82,1.48,-0.941
117,OG+003,Q,0.5846,18.79,det,54.344,21.085,-0.8324102433687761,34,2,,9.71,,,9.888,0.619,-0.963
118,PKS0507+17,Q,0.416,17.87,non,55.293,22.063,-0.8882420988956148,25,1,,9.389,0.055,,,,
119,4C+60.07,G,3.788,17.38,non,,14.176,1.6259692390815998,6,1,,7.14,-1.244,,,,
120,PMNJ0513+0100,R,2.677,18.11,non,,,,5,1,,11.33,-0.29,,,,
121,PKS0511-220,Q,1.296,18.3,non,55.831,22.486,-0.6808965291116784,22,2,,9.55,,,10.868,0.071,-0.577
122,3C138,Q,0.759,17.65,non,55.806,22.577,-0.8914608402808649,29,2,,8.26,,,8.691,0.418,-0.763
123,MRC0522-239,G,0.5,18.6,non,,,,5,1,,4.534,-0.734,,,,
124,OG-247,Q,2.813,17.91,non,57.383,24.277,-1.180696870560182,16,2,,10.07,,,9.293,5.577,-0.452
125,MRC0531-237,G,0.851,20.42,det,,,,8,2,,9.08,,,9.371,0.508,-0.965
126,OG-263,Q,3.014,18.45,non,57.227,23.916,-0.7381352150236964,25,2,,9.31,,,11.028,-2.759,0.044
127,GALEXASCJ054116.17+531225.6,Q,1.275,17.77,non,55.608,22.34,-0.8141946925707201,10,2,,8.35,,,10.776,-0.156,-3.523
128,PKS0539-057,Q,0.839,18.18,non,55.985,22.74,-0.8588759021763807,22,2,,8.82,,,10.747,-0.011,-2.888
129,3C147,Q,0.545,17.45,non,55.549,22.429,-1.1455592835719897,35,1,,6.416,-0.739,,,,
130,OA198,Q,2.365,18.28,non,56.751,23.4,-0.6725474044289778,26,2,,10.46,,,10.311,1.138,-0.725
131,PKS0554-026,G,0.235,18.77,non,53.941,21.116,-2.25980785551397,8,2,,9.16,,,9.716,0.178,-3.588
132,OH+402,Q,1.136,18.11,non,,,,9,2,,8.81,,,9.251,0.26,-0.615
133,8C0604+728,Q,3.52965,18.89,det,,,,8,1,,-0.991,-0.388,,,,
134,OH-010,Q,0.872,17.62,non,56.442,23.263,-0.9997953060306145,35,1,,0.301,-0.101,,,,
135,3C153,G,0.2769,17.79,non,,,,25,1,,-2.104,-1.015,,,,
136,4C+72.10,Q,3.53,18.89,non,,,,8,1,,-0.991,-0.388,,,,
137,[MGL2009]0581,Q,2.702,18.64,non,57.014,23.831,-0.9897972569936435,10,1,,15.223,-0.173,,,,
138,WNJ0617+5012,G,3.153,17.86,non,,,,0,0,,,,,,,
139,OH+335,Q,3.469,17.56,non,57.31,24.031,-0.79363260099104,12,2,,9.09,,,9.077,0.658,-0.426
140,[MGL2009]0615,Q,3.18,18.9,non,57.924,24.866,-1.319386344724431,26,2,,10.27,,,10.243,1.067,-0.976
141,OH+368.8,Q,1.266,18.09,non,,,,10,1,,10.65,-0.086,,,,
142,3C166,G,0.2449,17.69,non,,18.513,0.14215275239643066,24,1,,12.668,-0.857,,,,
143,[HB89]0642+449,Q,3.396,18.72,non,57.456,24.264,-0.968544849219134,32,1,,5.448,0.637,,,,
144,4C+41.17,G,3.796,17.72,non,,16.387,0.9797854160162761,8,1,,-10.434,-1.289,,,,
145,3C173.1,G,0.2921,18.3,non,,14.46,1.2808540184948045,17,1,,-16.198,-0.887,,,,
146,B30707+476,Q,1.292,17.14,non,56.411,23.201,-0.9315805274914831,30,1,,6.433,-0.197,,,,
147,FBQSJ071424.8+353439,Q,1.62,18.18,non,56.531,23.446,-1.2409916065747435,25,2,,9.63,,,9.782,0.62,-0.878
148,PKS0723-008,G,0.1273,17.76,non,54.973,21.782,-0.9712433137055836,30,1,,12.823,-0.067,,,,
149,LEDA2525314,G,0.104,18.03,non,,,,13,1,,7.093,-0.485,,,,
150,4C+43.15,G,2.429,0.0,non,56.475,23.495,-1.5812626482521985,9,1,,3.026,-0.928,,,,
151,OI+158,Q,0.424,17.53,non,56.246,23.056,-0.9745602759028895,57,1,,28.374,-0.108,,,,
152,OI+061,Q,0.18941,17.58,non,55.522,22.348,-1.0112640405589506,57,1,,11.809,-0.08,,,,
153,FBQSJ074110.6+311200,Q,0.631955,17.97,non,55.997,22.906,-1.2247809355900419,38,2,,9.62,,,10.094,0.335,-0.807
154,[HB89]0740+235,Q,0.776476,17.92,non,56.028,22.936,-1.2214935615515021,14,1,,11.466,-0.735,,,,
155,FBQSJ074417.4+375317,Q,1.067,17.4,non,56.363,23.29,-1.275646696553117,29,1,,5.49,-1.064,,,,
156,OI+171,G,2.63,18.15,non,56.037,22.259,-0.25144011584812315,32,2,,9.69,,,10.433,0.189,-0.93
157,FIRSTJ074729.3+365438,Q,2.992,18.83,non,,,,4,1,,7.408,-1.222,,,,
158,4C+46.16,G,2.926,0.0,non,54.979,22.279,-3.0086151837564934,11,1,,2.783,-0.942,,,,
159,PKS0745+241,Q,0.4092,17.86,non,55.195,21.972,-0.9013991350389782,32,1,,10.242,-0.088,,,,
160,B20748+27,Q,3.208,17.0,non,,,,8,2,,8.98,,,9.041,0.8,-0.86
161,4C+54.15,Q,0.2,18.32,non,54.687,21.464,-0.9024156491404673,18,2,,9.59,,,8.386,3.792,-0.142
162,B30750+412,Q,0.87017,18.78,non,54.375,21.48,-1.9197710403884258,6,1,,5.833,-0.883,,,,
163,SDSSJ075157.31+522309.2,*,0.1887,18.03,non,50.198,17.717,-4.987322616238007,2,0,,,,,,,
164,B30749+426,Q,3.594548,18.14,non,57.025,24.129,-1.9169672386035916,9,2,,9.58,,,10.238,0.088,-1.047
165,B30752+422,G,0.15,18.47,non,49.202,16.843,-6.603953075340957,3,1,,6.921,-0.574,,,,
166,B30752+387,G,0.215605,18.87,non,49.688,17.309,-6.294479797478747,2,0,,,,,,,
167,[HB89]0754+100,Q,0.266,17.86,non,55.899,22.724,-1.0086660998122625,30,1,,9.15,0.067,,,,
168,B20754+27,Q,0.818371,17.95,non,55.672,22.383,-0.7764476057882086,5,1,,1.564,-0.93,,,,
169,SDSSJ075621.76+355442.2,R,0.3191,18.21,non,52.369,19.648,-2.868700916802526,2,0,,,,,,,
170,3C190,Q,1.1946,18.64,det,56.115,22.995,-1.143897903966318,24,1,,-2.086,-0.863,,,,
171,B30754+444,G,0.780893,17.95,non,53.053,20.363,-3.0842859956278663,6,1,,7.111,-0.749,,,,
172,B20757+32,G,0.187239,18.64,non,53.921,20.718,-0.9467758631294445,5,1,,5.058,-0.717,,,,
173,B30801+437,G,0.123,18.02,non,,,,4,2,,9.15,,,8.745,6.504,-0.661
174,SBS0804+499,Q,1.435161,18.22,non,56.771,23.589,-0.9936096527172781,27,2,,10.13,,,9.708,0.617,-0.237
175,VIPS0069,Q,3.033,18.33,non,57.297,24.019,-0.7946488489316528,11,2,,9.61,,,10.578,0.113,-0.571
176,2MASXJ08062495+1725042,G,0.1041,18.33,non,51.953,19.161,-2.43686283121877,1,0,,,,,,,
177,FBQSJ080856.6+405244,Q,1.42001,18.1,non,56.522,23.3,-0.905577374231929,13,1,,9.785,-0.012,,,,
178,3C196.1,G,0.198,18.16,non,54.994,21.896,-1.2040449484092013,22,1,,32.832,-1.135,,,,
179,B20812+38,G,0.1727,18.12,non,52.522,19.748,-2.541653055973556,7,1,,-8.85,-0.73,,,,
180,FBQSJ081827.3+281402,Q,0.225235,18.93,non,54.609,21.568,-1.3743997093746203,2,0,,,,,,,
181,B30819+451,Q,0.795419,18.32,non,55.556,22.504,-1.3403883434298733,6,1,,5.337,-0.734,,,,
182,2MASXJ08202809+4853474,G,0.132447,18.68,non,53.768,20.593,-1.0085034003363706,6,2,,7.67,,,6.367,3.014,-0.286
183,FBQSJ082455.4+391641,Q,1.215921,17.9,non,56.734,23.527,-0.9353616492629546,20,1,,11.779,-0.277,,,,
184,SBS0820+560,Q,1.421334,17.79,non,56.746,23.519,-0.8940425237244894,14,2,,8.76,,,10.66,-0.112,-0.925
185,3C197.1,G,0.128,16.69,non,53.837,20.666,-1.0181995959627634,13,1,,-16.183,-0.774,,,,
186,2MASXJ08220955+4705529,G,0.1271,18.21,non,50.704,18.261,-5.441648273957335,4,2,,9.64,,,9.257,7.956,-0.538
187,WISEAJ082223.36+543825.4,?,0.858884,17.45,non,53.149,20.499,-3.3812612624791374,5,1,,6.022,-0.753,,,,
188,PKS0823+033,Q,0.506,17.88,non,56.068,22.866,-0.9472043249294712,37,1,,18.435,0.11,,,,
189,PKS0823-223,Q,0.91,18.34,non,56.939,23.746,-0.9677890360497011,13,2,,10.96,,,10.995,0.047,-4.619
190,SDSSJ082814.20+415351.9,G,0.226,17.95,non,53.668,20.769,-1.9019940770579997,1,0,,,,,,,
191,OJ+448,Q,0.548,18.08,non,55.122,21.981,-1.090203588495908,23,2,,8.99,,,10.658,-5.274,-0.216
192,B20830+22,G,0.80987,17.6,non,55.365,22.222,-1.085809243108223,5,1,,4.637,-0.777,,,,
193,[FOC2014]069,Q,2.985465,18.11,non,57.316,24.173,-1.08635656340207,5,1,,14.956,-0.212,,,,
194,2MASXJ08313978+4608005,G,0.131138,18.1,non,52.672,19.834,-2.194352685031656,8,1,,10.837,-0.293,,,,
195,2MFGC06756,G,0.242,18.03,det,54.342,20.971,-0.6423597085795695,28,2,,7.57,,,7.062,2.183,-0.422
196,WISEAJ083417.54+601947.0,Q,0.716751,17.91,non,55.338,22.172,-1.0287182282028424,9,1,,9.751,-0.142,,,,
197,WISEJ083548.14+151717.0,G,0.1684,18.48,non,54.003,20.979,-1.427455986430773,4,2,,9.65,,,9.235,7.909,-0.301
198,FBQSJ083636.8+412554,Q,1.303697,18.04,non,56.899,23.762,-1.0986037569890517,10,1,,11.132,-0.141,,,,
199,2MASXJ08390306+4015457,G,0.1941,18.17,non,52.902,20.134,-2.5731162946168458,1,0,,,,,,,
200,WMAP144,Q,2.752,18.3,non,57.25,24.024,-0.8980782925064345,23,2,,9.87,,,8.721,1.781,-0.133
201,[HB89]0836+182,Q,0.28,18.11,non,54.93,21.854,-1.2661126319669231,8,1,,10.356,-0.161,,,,
202,WISEAJ083825.01+371036.6,G,0.3962,17.63,non,51.262,18.741,-4.547370014752563,3,1,,9.565,-0.79,,,,
203,B30839+458,G,0.192,19.54,det,52.349,19.554,-2.422072596906559,7,2,,9.06,,,8.76,1.758,-0.421
204,3C207,Q,0.6808,17.69,non,55.668,22.462,-0.9393004573534424,36,1,,10.531,-0.554,,,,
205,WISEAJ084051.27+443959.3,Q,0.769397,18.01,non,55.066,21.98,-1.2383346626329033,4,2,,9.58,,,9.537,1.325,-0.951
206,2MASXJ08435912+5105243,G,0.126344,18.88,non,53.448,20.365,-1.2468558161606007,5,1,,15.158,-0.651,,,,
